Sku,Name,ManufacturersCode,DateCreated,DateUpdated,IsActive,Summary,Weight,WeightUnit,CategoryID,Category,ManufacturerID,Manufacturer,CostPrice,SellPrice,Qty
NOT4926,Toshiba Satellite Pro L450-13P Notebook,PSLY1E-008005EN,29/03/2010 14:52,04/03/2025 11:27,0,"Intel® Celeron® Processor M 900 (2.2)<br/>DVD-RW SuperMulti drive (Double Layer)<br/>2048 MB DDR RAM (800MHz)<br/>15.6"" TruBrite® HD (1366 x 768)<br/>Windows 7 Professional",3.61,KG,101,Laptops,258,Toshiba,£1753.502,£2332.15766,159
NOT1161,Acer Aspire 5514WLMi with TV Tuner,LX.A7705.032,29/09/2009 12:00,27/06/2023 10:47,0,Pentium M 760 2GHz/ 1024MB DDR2<br/>  100GB HDD / DVD Dual<br/>  256MB ATI X700 / 15.4&rdquo; WXGA<br/>  <strong>** WEB ONLY SPECIAL **</strong>,5,KG,101,Laptops,155,Acer,270.49,311.0635,165
NOT9946,Dell Latitude 15 E5440 (14 inch) Notebook PC Core i3 (4010U) 1.7GHz 4GB 500GB,5440-4606,13/02/2014 15:23,24/09/2024 15:54,0,DVDÝRW WLAN Webcam Windows 7 Pro 64-bit (HD Graphics 4400),2.1,KG,101,Laptops,364,Dell,333.795,367.1745,26
NOT1038,Acer Ferrari 3200LMi,LX.FR205.002,29/09/2009 12:00,27/06/2023 10:47,0,"15"" / A64 2800 / 512MB / 80GB<br/>DVD±RW / 128MB Radeon 9700<br/>Windows XP Home<br/>Ex Demonstration Model - more than £150 off!!",5,KG,101,Laptops,155,Acer,380.787,487.40736,99
NOT6328,Toshiba Satellite Pro A200SE-1X6 Notebook,PSAE4E-03S017EN,29/09/2009 12:01,04/03/2025 10:32,0,Core 2 Duo (T5450) 2048MB (2 x 1024MB) 80GB 15.4 inch WXGA TFT DVD Super Multi Drive Modem LAN WLAN BT Vista Business (Intel GMA X3100),5,KG,101,Laptops,258,Toshiba,583.01,588.8401,88
NOT0314,Acer Aspire 5336-T353G32Mnrr Notebook PC,LX.R4J02.016,04/04/2011 12:43,24/09/2024 15:53,0,Celeron (T3500) 2.1GHz 3072MB 320GB 15.6 inch HD CineCrystal LCD DVD-SuperMulti DL WLAN Webcam Windows 7 Home Premium (UMA Graphics),3.8,KG,101,Laptops,155,Acer,1806.729,2348.7477,162
NOT8989,"HP ZBook 15 Mobile Workstation 15.6"" Intel Core i7-4700MQ 8GB 750GB Windows 7 Pro/ Windows 8 Pro Nvidia Quadro K1100M Notebook",F0U63ET#ABU,07/10/2013 18:37,04/03/2025 11:17,0,NULL,4.8,KG,101,Laptops,316,HP,741.285,748.69785,198
NOT5099,Asus N90SV-UZ058C Notebook,N90SV-UZ058C,29/03/2010 14:52,04/03/2025 11:21,0,Core 2 Duo (P8700) 2.53GHz 4096MB (2x2048MB) 640GB (2x320GB) 18.4 inch TFT Blu-Ray Drive LAN WLAN BT Vista Home Premium (GeForce GT 130M),4.2,KG,101,Laptops,317,ASUS,824.161,832.40261,29
NOT6394,Toshiba Satellite Pro A300-1C1 Laptop,PSAJ1E-018006EN,29/03/2010 14:52,27/06/2023 10:49,0,Intel Core 2 Duo ( T5670) 1800MHz   <br/>160GB Hard Drive   <br/>3072MB 667MHz DDR2 RAM   <br/>Microsoft Windows Vista Business   ,5,KG,101,Laptops,258,Toshiba,229.994,319.69166,95
NOT4321,Fujitsu Lifebook S761 Notebook,VFY:S7610MF021GB,04/10/2011 14:37,04/03/2025 10:26,0,Core i3 (2310M) 13.3 inch 2.1GHz 2GB 320GB DVD+RW 3G Windows 7 Pro 64-bit,2.5,KG,101,Laptops,222,Fujitsu,1637.71,1998.0062,200
NOT4639,HP Pavilion dv7-2045 (dv7-2045ea) Notebook,NP823EA#ABU,29/03/2010 14:52,24/09/2024 15:54,0,"2.3GHz AMD X2 Ultra ZM-84 <br/>4GB Memory / 250GB Hard Drive <br/>17.3"" Widescreen / DVDRW + Lightscribe <br/>Wireless LAN / Webcam <br/>ATI Radeon HD 4530 <br/>Windows Vista Home Premium",4.8,KG,101,Laptops,316,HP,1448.397,1622.20464,51
NOT7600,Asus F3SR-AP730C Portability Notebook,F3SR-AP730C,29/03/2010 14:52,27/06/2023 10:49,0,Core 2 Duo (T7300) 2GHz 2048MB (2x1024MB) 250GB 15.4 inch WXGA TFT DVDRW WLAN BT VHP ATI HD2400,5,KG,101,Laptops,317,ASUS,467.475,598.368,122
NOT0572,Samsung R540 Notebook Computer,NP-R540-JA08UK,04/04/2011 17:16,04/03/2025 11:24,0,Intel Core (i3 -380M) 2.53GHz 4096MB 500GB 15.6 inch WXGA LED WLAN Windows 7 Home Premium 64 Bit (Intel GMA HD Graphics) (Silver),3.46,KG,101,Laptops,143,Samsung,288.464,325.96432,28
NOT5057,Fujitsu Lifebook P771 12.1 inch Notebook PC,VFY:P7710MF041GB,08/11/2011 10:28,24/09/2024 14:39,0,Core i5 (2520M) 2.5GHz 4GB 320GB DVD+RW 3G Windows 7 Pro 64-bit (Intel HD Graphics),2.1,KG,101,Laptops,222,Fujitsu,411.7,448.753,148
NOT7168,Lenovo ThinkPad T430s 2356LRG (14.0 inch) Notebook,N1RLRUK,29/11/2012 16:58,04/03/2025 11:20,0,Core i5 (3320M) 2.6GHz 4GB 500GB DVDÝRW WLAN BT Webcam Windows 7 Pro 64-bit/Windows 8 Pro 64-bit RDVD (Intel HD Graphics) Black,2.1,KG,101,Laptops,231,Lenovo,1108.633,1452.30923,248
NOT1459,Lenovo ThinkPad X201 Tablet Notebook,NU7FJUK,31/05/2011 15:10,07/07/2025 13:45,0,Intel Core i7 (640LM) 2.13GHz 4096MB (1x4096MB) 320GB 12.1 inch WXGA TFT Multi-touch Modem LAN WLAN Bluetooth Windows 7 Professional 64-bit (Intel HD Graphics),2.1,KG,101,Laptops,231,Lenovo,1611.234,2175.1659,138
NOT3282,Acer Aspire 5738Z-442G25Mn Notebook PC,LX.PAR02.057,15/06/2010 12:58,27/06/2023 10:48,0,Pentium Dual Core (T4400) 2.2GHz 2048MB 250GB 15.6 inch HD CineCrystal LCD DVD-SuperMulti DL WLAN Webcam Windows 7 Home Premium 64-Bit (UMA Graphics),2.1,KG,101,Laptops,155,Acer,553.768,730.97376,55
NOT3267,Acer TravelMate 5330-312G16MN Notebook PC,LX.TRS03.084,15/06/2010 12:58,04/03/2025 11:26,0,Celeron M (T3100) 1.9GHz 2048MB 160GB 15.4 inch WXGA CrystalBrite LCD DVD-SuperMulti WLAN BT Webcam Windows 7 Pro with XPP Recovery Discs (Intel GMA 4500MHD),2.88,KG,101,Laptops,155,Acer,1013.901,1155.84714,239
NOT0705,Acer Aspire 5750G-2414G50Mnkk Notebook,LX.RAZ02.097,04/05/2011 16:05,24/09/2024 15:54,0,Intel Core i5 (2410M) 2.3GHz 4GB 500GB 15.6 inch CineCrystal HD LED-backlit DVD-SuperMulti DL WLAN Webcam Windows 7 Home Premium 64-bit (GeForce GT 540M),4.35,KG,101,Laptops,155,Acer,852.74,980.651,165
NOT0037,IBM ThinkPad R50e UR0JAUK,UR0JAUK,29/09/2009 12:00,27/06/2023 10:45,0,Pentium M 725 (1.6GHz) / 256MB<br/>  40GB Hard Drive / DVD/CD-RW<br/>  15&quot; XGA / Wireless LAN,7,KG,101,Laptops,247,IBM,908.818,990.61162,138
NOT4657,Toshiba Portégé R600-11B Notebook,PPR61E-01G00CEN,29/03/2010 14:52,04/03/2025 11:27,0,Core 2 Duo (SU9400) 1.4GHz 3072 (1024 onboard + 2048MB) 320GB 12.1 inch WXGA TFT DVD Super Multi Drive LAN WLAN BT Vista Business (Intel GMA 450MHD),2.1,KG,101,Laptops,258,Toshiba,1040.18,1185.8052,34
NOT5019,MSI L735-037UK Laptop,17117-037UK,29/09/2009 12:00,27/06/2023 10:48,0,"AMD Turion 64 TL52 / 1GB DDR2<br/>100GB HDD / 17"" / DVDRW / WLAN<br/>GF Go 7600 / Vista Home Premium<br/>Free MSI Mouse &amp; Carry Case<br/>£150 Off RRP / 2 Year Intl. Warranty<br/><FONT color=#ff0000 size=3>**CCL Exclusive**",3,KG,101,Laptops,368,MSI,1414.956,1570.60116,44
NOT8463,Lenovo IdeaPad Z500 (15.6 inch) Notebook Core i3 (3120M) 2.5GHz 6GB 1TB,59372917,04/07/2013 09:54,24/09/2024 14:39,0,VDÝRW WLAN BT Webcam Windows 8 64-bit (Intel HD Graphics) White,3.4,KG,101,Laptops,231,Lenovo,1368.487,1724.29362,240
